pid,sex,group,visit1_date,visit2_date,visit1_blactate_begin,visit2_blactate_begin,visit1_vo2_max,visit2_vo2_max,visit1_vco2_max,visit2_vco2_max,visit1_rer_max,visit2_rer_max,visit1_speed_max,visit2_speed_max,visit1_blactate_end,visit2_blactate_end,visit1_comments,visit2_comments
10026436,male,8w,04JUL2018,30AUG2018,2,1.2,66.14,70.34,69.13,70.55,1.07,1.01,19.8,28.8,8.7,4.6,,
10026940,male,8w,05JUL2018,31AUG2018,1.4,1.4,65.35,73.37,69.04,78.1,1.06,1.07,21.6,30.6,11.8,7.4,,
10027084,male,8w,05JUL2018,31AUG2018,1,1.9,65.6,78.22,70.41,80.96,1.05,1.04,19.8,34.2,9.3,8.8,,
10027165,male,8w,05JUL2018,31AUG2018,1.6,1.7,67.27,81.49,69.56,83.74,1.03,1.04,21.6,32.4,7.1,9,,
10027246,male,8w,05JUL2018,31AUG2018,1.9,1.7,68.99,78.06,71.01,80.51,1.03,1.04,21.6,28.8,11.1,7.5,,
10027408,male,8w,06JUL2018,01SEP2018,2.5,1.7,61.83,78.25,65.47,83.08,1.06,1.07,21.6,32.4,8.9,9.4,,
10027912,male,8w,06JUL2018,01SEP2018,1.2,1.4,66.89,80.18,69.86,83.8,1.05,1.05,23.4,34.2,10.3,10.6,,
10023259,male,control,02JUL2018,28AUG2018,1.8,0.5,64.47,63.47,66.95,67.88,1.04,1.07,21.6,21.6,8.2,9.5,,
10024816,male,control,02JUL2018,28AUG2018,1.4,1.8,66.38,61.39,68.7,68.79,1.04,1.12,21.6,21.6,11.2,7.1,,
10025464,male,control,03JUL2018,29AUG2018,1.7,1.4,63.31,62.27,61.05,65.09,1.03,1.04,21.6,21.6,5.7,10.4,"Increased speed to 23.4 m/min during protocol; However the rat can't maintain the speed, so speed was dropped to 21.6 m/min",
10025545,male,control,03JUL2018,29AUG2018,1.4,1.8,64.37,58.48,66.46,61.76,1.04,1.06,19.8,19.8,8.2,11.1,"Increased speed to 21.6 m/min during protocol; However the rat can't maintain the speed, so it was dropped to 19.8 m/min",
10026002,male,control,04JUL2018,30AUG2018,2,1.6,65.3,59.12,66.92,60.58,1.03,1.03,19.8,19.8,7.5,9.3,,
10026274,male,control,04JUL2018,30AUG2018,1.5,1.6,67.75,62.94,69.72,68.71,1.03,1.09,21.6,19.8,8.5,14.6,,
10026355,male,control,04JUL2018,30AUG2018,2.1,1.4,54.69,52.64,56.82,55.91,1.04,1.06,19.8,18,5.1,7.1,"The rat was stressed at the end, didn't want to run, laid on the shock area and got shocked. Thus, the test was ended to prevent the rat from any kind of injuries caused by the shock.",
10026517,male,control,05JUL2018,31AUG2018,1.5,1.6,61.58,52.76,58.68,56.08,1.02,1.06,19.8,19.8,6.5,8.5,,
10026789,male,control,05JUL2018,31AUG2018,0.9,1.5,60.18,59.7,58.85,63.84,0.98,1.07,19.8,19.8,4.5,9,,
10027327,male,control,06JUL2018,01SEP2018,1.7,1.8,64.69,58.53,68.34,59.73,1.05,1.04,21.6,19.8,11.1,7.9,,
10027599,male,control,06JUL2018,01SEP2018,1.4,1.4,55.47,60.42,56.24,65.22,1.02,1.03,21.6,19.8,6.8,10.4,,
10027831,male,control,06JUL2018,01SEP2018,1.5,1.3,66.66,58.73,65.9,63.9,0.99,1.09,19.8,18,5.1,8.7,"The rat sat on the shock area too often and that might affected the lactate measures. Also, failed to measure the lactate at the first try.",
